Window,Objective,Selection Size,Model,Evaluation Count,Observed Count,Observed Rate,Random Rate,Expected Count,Lift,Rate CI Low,Rate CI High,Lift CI Low,Lift CI High,Exact p-value,Monte Carlo p-value,Mean Hit@4,Mean Hit@5,Mean Hit@6,q-value,Evidence Status
Last 25,NearPerfect,4,M10,25,2,0.08,0.046311283653055806,1.1577820913263952,1.7274407809406787,0.009839590018797513,0.2603058421052142,0.21246636332759603,5.620786589620652,0.3233804469650004,0.3220535589288214,1.0,,,0.6467608939300008,Insufficient tail sample
Last 25,NearPerfect,5,M1,25,0,0.0,0.012737262737262736,0.3184315684315684,0.0,0.0,0.1371851715307125,0.0,10.770380917822997,1.0,1.0,,1.24,,1.0,Insufficient tail sample
Last 25,NearPerfect,5,M2,25,0,0.0,0.012737262737262736,0.3184315684315684,0.0,0.0,0.1371851715307125,0.0,10.770380917822997,1.0,1.0,,1.16,,1.0,Insufficient tail sample
Last 25,NearPerfect,5,M3,25,0,0.0,0.012737262737262736,0.3184315684315684,0.0,0.0,0.1371851715307125,0.0,10.770380917822997,1.0,1.0,,1.36,,1.0,Insufficient tail sample
Last 25,NearPerfect,5,M4-A,25,0,0.0,0.012737262737262736,0.3184315684315684,0.0,0.0,0.1371851715307125,0.0,10.770380917822997,1.0,1.0,,1.32,,1.0,Insufficient tail sample
Last 25,NearPerfect,5,M4-B,25,1,0.04,0.012737262737262736,0.3184315684315684,3.1403921568627453,0.0010121996993108454,0.203516913922414,0.0794675999223652,15.978073006771485,0.27419720149668037,0.27687446251074976,,1.12,,1.0,Insufficient tail sample
Last 25,NearPerfect,5,M4-C,25,0,0.0,0.012737262737262736,0.3184315684315684,0.0,0.0,0.1371851715307125,0.0,10.770380917822997,1.0,1.0,,1.32,,1.0,Insufficient tail sample
Last 25,NearPerfect,5,M4-D,25,0,0.0,0.012737262737262736,0.3184315684315684,0.0,0.0,0.1371851715307125,0.0,10.770380917822997,1.0,1.0,,1.4,,1.0,Insufficient tail sample
Last 25,NearPerfect,5,M4-E,25,0,0.0,0.012737262737262736,0.3184315684315684,0.0,0.0,0.1371851715307125,0.0,10.770380917822997,1.0,1.0,,1.28,,1.0,Insufficient tail sample
Last 25,NearPerfect,5,M4-F,25,0,0.0,0.012737262737262736,0.3184315684315684,0.0,0.0,0.1371851715307125,0.0,10.770380917822997,1.0,1.0,,1.52,,1.0,Insufficient tail sample
Last 25,NearPerfect,5,M5,25,0,0.0,0.012737262737262736,0.3184315684315684,0.0,0.0,0.1371851715307125,0.0,10.770380917822997,1.0,1.0,,1.16,,1.0,Insufficient tail sample
Last 25,NearPerfect,5,M6,25,0,0.0,0.012737262737262736,0.3184315684315684,0.0,0.0,0.1371851715307125,0.0,10.770380917822997,1.0,1.0,,1.28,,1.0,Insufficient tail sample
Last 25,NearPerfect,5,Ensemble,25,0,0.0,0.012737262737262736,0.3184315684315684,0.0,0.0,0.1371851715307125,0.0,10.770380917822997,1.0,1.0,,1.08,,1.0,Insufficient tail sample
