Window,Objective,Selection Size,Model,Evaluation Count,Observed Count,Observed Rate,Random Rate,Expected Count,Lift,Rate CI Low,Rate CI High,Lift CI Low,Lift CI High,Exact p-value,Monte Carlo p-value,Mean Hit@4,Mean Hit@5,Mean Hit@6,q-value,Evidence Status
Last 50,Exact,6,M2,50,0,0.0,0.0001289849391115214,0.006449246955576069,0.0,0.0,0.07112173646419764,0.0,551.3956664561065,1.0,1.0,,,1.24,1.0,Insufficient tail sample
Last 50,Exact,6,M3,50,0,0.0,0.0001289849391115214,0.006449246955576069,0.0,0.0,0.07112173646419764,0.0,551.3956664561065,1.0,1.0,,,1.48,1.0,Insufficient tail sample
Last 50,Exact,6,M4,50,0,0.0,0.0001289849391115214,0.006449246955576069,0.0,0.0,0.07112173646419764,0.0,551.3956664561065,1.0,1.0,,,1.46,1.0,Insufficient tail sample
Last 50,Exact,6,M5,50,0,0.0,0.0001289849391115214,0.006449246955576069,0.0,0.0,0.07112173646419764,0.0,551.3956664561065,1.0,1.0,,,1.68,1.0,Insufficient tail sample
Last 50,Exact,6,M6,50,0,0.0,0.0001289849391115214,0.006449246955576069,0.0,0.0,0.07112173646419764,0.0,551.3956664561065,1.0,1.0,,,1.46,1.0,Insufficient tail sample
Last 50,Exact,6,Ensemble,50,0,0.0,0.0001289849391115214,0.006449246955576069,0.0,0.0,0.07112173646419764,0.0,551.3956664561065,1.0,1.0,,,1.5,1.0,Insufficient tail sample
Last 50,NearPerfect,4,M1,50,6,0.12,0.046311283653055806,2.3155641826527904,2.591161171411018,0.04533532077366386,0.24310131670556254,0.9789260240181759,5.249289104719552,0.027387005988054984,0.026759464810703786,1.08,,,0.19170904191638488,Insufficient tail sample
Last 50,NearPerfect,4,M2,50,0,0.0,0.046311283653055806,2.3155641826527904,0.0,0.0,0.07112173646419764,0.0,1.5357323497446338,1.0,1.0,0.86,,,1.0,Insufficient tail sample
Last 50,NearPerfect,4,M3,50,2,0.04,0.046311283653055806,2.3155641826527904,0.8637203904703393,0.004881433426164382,0.1371376256039674,0.10540483962254164,2.9612140883708475,0.6798348281594919,0.6790064198716026,0.94,,,0.9517687594232888,Insufficient tail sample
Last 50,NearPerfect,4,M4,50,2,0.04,0.046311283653055806,2.3155641826527904,0.8637203904703393,0.004881433426164382,0.1371376256039674,0.10540483962254164,2.9612140883708475,0.6798348281594919,0.6792864142717145,1.0,,,0.9517687594232888,Insufficient tail sample
Last 50,NearPerfect,4,M5,50,4,0.08,0.046311283653055806,2.3155641826527904,1.7274407809406787,0.022227963654929767,0.19234278359596277,0.4799686361849112,4.153259603791423,0.2004249728297825,0.2004359912801744,1.1,,,0.7014874049042388,Insufficient tail sample
Last 50,NearPerfect,4,M6,50,3,0.06,0.046311283653055806,2.3155641826527904,1.295580585705509,0.012548587835334064,0.16548194660377288,0.2709617796246522,3.5732532884100636,0.4100430866502933,0.4066918661626768,1.06,,,0.9517687594232888,Insufficient tail sample
Last 50,NearPerfect,4,Ensemble,50,1,0.02,0.046311283653055806,2.3155641826527904,0.43186019523516966,0.0005062279830408294,0.1064695457114999,0.010930985779475938,2.2989979398784084,0.9066031533244202,0.9059818803623928,0.94,,,1.0,Insufficient tail sample
Last 50,NearPerfect,5,M1,50,3,0.06,0.012737262737262736,0.6368631368631368,4.710588235294118,0.012548587835334064,0.16548194660377288,0.9851871704446588,12.9919551804217,0.025975159779421494,0.025679486410271794,,1.48,,0.18182611845595045,Insufficient tail sample
Last 50,NearPerfect,5,M2,50,0,0.0,0.012737262737262736,0.6368631368631368,0.0,0.0,0.07112173646419764,0.0,5.583753584365635,1.0,1.0,,1.06,,1.0,Insufficient tail sample
