Train End Draw,Target Draw,Training Size,Strategy Version,Config Version,Config Hash,M1 Top6,M1 Hit@4,M1 Hit@5,M1 Hit@6,M2 Top6,M2 Hit@4,M2 Hit@5,M2 Hit@6,M3 Top6,M3 Hit@4,M3 Hit@5,M3 Hit@6,M4 Top6,M4 Hit@4,M4 Hit@5,M4 Hit@6,M5 Top6,M5 Hit@4,M5 Hit@5,M5 Hit@6,M6 Top6,M6 Hit@4,M6 Hit@5,M6 Hit@6,Ensemble Top6,Ensemble Hit@4,Ensemble Hit@5,Ensemble Hit@6,Random Expected Hit@4,Random Expected Hit@5,Random Expected Hit@6
47943,47944,15767,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,11 22 38 42 37 61,1,1,2,22 28 33 38 2 12,2,2,2,3 29 61 70 52 8,2,2,2,3 29 34 39 14 61,1,1,2,4 5 13 22 23 25,0,1,2,12 18 38 48 42 32,3,3,3,22 44 38 34 14 3,2,2,3,1.0,1.25,1.5
47946,47947,15769,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,23 38 42 66 18 37,1,2,2,12 22 28 33 38 2,0,0,0,3 29 61 70 39 44,1,1,1,8 29 39 70 65 14,1,2,3,2 9 12 13 15 17,0,1,2,8 18 38 48 68 12,1,1,1,44 22 12 3 39 38,0,0,0,1.0,1.25,1.5
47947,47948,15770,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,30 38 42 66 18 23,2,2,3,12 22 28 33 38 16,0,1,1,8 29 61 70 34 39,0,0,1,3 8 39 70 61 65,1,1,1,5 10 11 14 15 17,0,0,1,12 18 38 48 32 68,1,1,2,12 31 44 3 39 38,1,2,3,1.0,1.25,1.5
47948,47949,15771,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,23 30 38 42 73 66,0,0,0,12 22 28 38 33 68,2,2,2,29 39 65 70 61 8,0,0,0,14 29 34 61 3 70,0,0,0,4 9 17 20 23 31,0,0,0,18 38 48 68 12 32,1,2,2,39 38 12 31 22 44,1,2,3,1.0,1.25,1.5
47949,47950,15772,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,23 30 38 73 66 5,2,2,2,12 22 28 38 33 2,0,0,0,3 29 34 61 8 12,1,1,1,3 8 12 29 28 52,1,1,1,5 7 10 12 21 22,0,0,0,8 18 38 48 68 32,0,0,1,12 44 38 22 42 63,0,0,0,1.0,1.25,1.5
47950,47951,15773,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,23 30 38 66 73 22,0,0,0,12 16 22 28 33 38,2,2,2,8 29 34 39 3 61,1,1,1,3 14 29 39 54 70,0,0,1,4 15 16 23 24 26,2,2,3,18 32 38 48 12 33,0,1,1,12 44 38 46 15 22,1,2,2,1.0,1.25,1.5
47951,47952,15774,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,13 23 30 38 66 4,0,1,1,12 16 22 28 38 80,1,1,1,3 8 29 65 39 70,1,1,1,3 29 39 70 61 8,1,1,1,4 5 10 12 13 15,1,1,2,18 32 38 48 12 36,0,0,0,12 70 34 31 15 22,1,2,2,1.0,1.25,1.5
47952,47953,15775,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,13 23 30 38 17 53,1,1,1,12 22 28 80 16 31,1,1,2,8 29 34 39 61 70,1,1,1,3 29 39 70 34 54,0,1,1,6 10 15 17 21 27,1,2,2,18 32 38 48 36 12,0,1,1,34 12 31 38 15 66,2,2,3,1.0,1.25,1.5
47953,47954,15776,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,4 13 22 66 30 53,3,3,3,12 22 28 33 80 16,1,2,2,8 29 61 70 54 39,2,2,3,3 29 39 70 65 63,3,3,3,4 5 6 13 21 22,2,2,3,32 33 36 38 18 48,1,2,2,22 34 31 33 12 66,1,1,2,1.0,1.25,1.5
47954,47955,15777,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,4 13 22 66 53 17,3,4,4,12 22 28 33 80 43,1,2,3,8 34 54 70 29 65,1,2,2,3 29 39 70 8 14,2,2,3,3 5 7 13 18 22,1,1,2,12 32 36 38 42 33,0,0,0,22 34 39 66 12 29,3,3,4,1.0,1.25,1.5
